Charge,Date,BIN,Uoc,Isc,Rser,Rsh,FF,EFF,IRev1,IRev2
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:51,2.00000000e+01,6.40548050e-01,8.88249397e+00,1.58994051e-03,2.54211029e+02,8.05206375e+01,1.86476460e+01,8.16172585e-02,1.36880681e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:54,2.00000000e+01,6.41323686e-01,8.90682888e+00,1.98673876e-03,6.19021545e+02,8.02259369e+01,1.86528587e+01,1.00250423e-01,1.74296468e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:56,2.00000000e+01,6.43666983e-01,8.88785267e+00,2.38566333e-03,1.08299629e+02,7.99071655e+01,1.86068974e+01,1.73003599e-01,2.57917374e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:58,1.90000000e+01,6.43549979e-01,8.92668056e+00,1.66555610e-03,8.10294571e+01,8.01071548e+01,1.87315540e+01,4.12944883e-01,6.11108243e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:00,1.90000000e+01,6.43644392e-01,8.94278717e+00,2.14562076e-03,1.51337311e+02,7.98947906e+01,1.87183475e+01,2.61671305e-01,4.30193663e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:02,2.10000000e+01,6.41592145e-01,8.86887646e+00,1.71722530e-03,8.23060837e+01,8.02282715e+01,1.85816936e+01,4.38430339e-01,1.34796858e+00
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:04,2.00000000e+01,6.41397655e-01,8.92048359e+00,1.60406542e-03,9.38309479e+01,8.01559219e+01,1.86673012e+01,2.98685968e-01,4.44252372e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:06,1.00000000e+00,6.39172971e-01,8.82357121e+00,1.76006125e-03,7.75710602e+01,8.02980194e+01,1.84330769e+01,6.05377555e-01,1.51996434e+00
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:08,9.00000000e+00,6.44499779e-01,8.95863628e+00,1.80766103e-03,7.01468140e+02,8.03897476e+01,1.88927670e+01,2.34755334e-02,5.34765013e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:10,2.10000000e+01,6.40266716e-01,8.88777733e+00,1.72307342e-03,3.80949005e+02,8.02450256e+01,1.85867062e+01,1.24860741e-01,5.79148173e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:12,1.90000000e+01,6.43674552e-01,8.95468426e+00,2.24536075e-03,2.20799911e+02,8.01130295e+01,1.87953320e+01,1.01429477e-01,1.51005849e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:14,8.00000000e+00,6.44478321e-01,8.95725060e+00,1.72810862e-03,2.41821533e+02,8.04951935e+01,1.89139919e+01,7.85618648e-02,1.15618162e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:16,1.90000000e+01,6.42740130e-01,8.93387127e+00,1.82654592e-03,2.70756195e+02,8.03116226e+01,1.87708397e+01,1.07825078e-01,2.54664391e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:18,9.00000000e+00,6.43452108e-01,8.94149685e+00,1.95417041e-03,2.45047333e+02,8.05881805e+01,1.88724384e+01,6.03471212e-02,1.57179222e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:21,2.00000000e+01,6.42497838e-01,8.89936352e+00,1.63359102e-03,3.64630951e+02,8.01414261e+01,1.86516781e+01,7.40246326e-02,1.59115359e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:23,8.00000000e+00,6.45577550e-01,8.96827602e+00,1.91775302e-03,2.56883942e+02,8.03694611e+01,1.89399433e+01,5.98479956e-02,9.70296562e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:25,8.00000000e+00,6.45373046e-01,8.96984100e+00,1.79678632e-03,1.28301819e+02,8.03019333e+01,1.89213352e+01,1.76730275e-01,2.44631693e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:27,2.10000000e+01,6.39523089e-01,8.87540817e+00,2.04728195e-03,2.48088394e+02,8.03075562e+01,1.85537262e+01,1.05482019e-01,3.02122325e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:29,1.90000000e+01,6.41843021e-01,8.91897583e+00,1.98895554e-03,2.28125778e+02,8.03282089e+01,1.87172546e+01,1.05895586e-01,1.54228166e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:31,1.00000000e+00,6.39103770e-01,8.86540031e+00,1.78168761e-03,2.23677277e+02,8.01532898e+01,1.84850769e+01,1.51627809e-01,5.18127024e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:33,9.00000000e+00,6.44499421e-01,8.91881561e+00,1.74916745e-03,2.75085388e+02,8.05507812e+01,1.88464565e+01,9.04443190e-02,2.24317074e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:35,1.00000000e+00,6.39138997e-01,8.81940365e+00,1.61871896e-03,1.37117447e+02,8.02239456e+01,1.84063950e+01,3.37748408e-01,1.34321702e+00
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:37,1.90000000e+01,6.42175257e-01,8.92948151e+00,2.06265855e-03,1.47881165e+02,8.01514816e+01,1.87077503e+01,2.12101057e-01,3.10789019e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:39,2.00000000e+01,6.43658280e-01,8.92074394e+00,1.80471118e-03,2.17150116e+02,7.98888397e+01,1.86712208e+01,1.62180215e-01,2.27128789e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:41,2.00000000e+01,6.41524851e-01,8.91036892e+00,2.03839247e-03,2.11992477e+02,8.01515808e+01,1.86488247e+01,1.24265850e-01,2.19542563e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:43,2.00000000e+00,6.36646986e-01,8.85910702e+00,1.76342204e-03,2.66578369e+02,8.00354080e+01,1.83738842e+01,1.80481657e-01,7.57257104e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:45,1.90000000e+01,6.43229544e-01,8.90260124e+00,2.00318801e-03,4.90301758e+02,8.03645248e+01,1.87317123e+01,8.16892534e-02,2.27870896e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:48,2.10000000e+01,6.40865088e-01,8.89453506e+00,2.35421048e-03,3.95830444e+02,7.98128815e+01,1.85179577e+01,7.78919011e-02,2.05281213e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:50,9.00000000e+00,6.44346237e-01,8.94993496e+00,1.88549352e-03,5.36796021e+02,8.03197403e+01,1.88534870e+01,7.40139857e-02,1.69125497e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:52,2.10000000e+01,6.39815986e-01,8.88586617e+00,1.54748443e-03,3.23515808e+02,8.02995987e+01,1.85822563e+01,8.91288668e-02,3.24140787e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:54,9.00000000e+00,6.43805087e-01,8.94825172e+00,1.62830565e-03,2.61891296e+02,8.03737488e+01,1.88467751e+01,7.38355815e-02,1.31537139e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:56,9.00000000e+00,6.44639492e-01,8.95288658e+00,1.99751067e-03,7.95783691e+02,8.03370743e+01,1.88723602e+01,5.87401465e-02,1.75848857e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:30:58,2.00000000e+01,6.41375184e-01,8.92004585e+00,1.66216225e-03,6.55409424e+02,8.01007996e+01,1.86528969e+01,4.57921475e-02,1.71463966e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:31:00,9.00000000e+00,6.44297481e-01,8.93427849e+00,2.08348641e-03,2.32399353e+02,8.02571030e+01,1.88044052e+01,9.08256695e-02,2.32301846e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:31:02,1.90000000e+01,6.42660677e-01,8.91992855e+00,1.92054058e-03,4.83220642e+02,8.02591553e+01,1.87269840e+01,4.84365039e-02,6.77851588e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:31:04,1.00000000e+00,6.37408018e-01,8.79340744e+00,1.30259548e-03,3.80815918e+02,8.09814758e+01,1.84752636e+01,6.04311265e-02,2.90019065e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:31:06,8.00000000e+00,6.45634890e-01,8.96706676e+00,1.62554730e-03,3.76635742e+02,8.04331818e+01,1.89540844e+01,9.83933136e-02,1.38569802e-01
